conference_year,edition_number,location,conference_format,valid_full_paper_submissions,accepted_full_papers,accepted_oral_papers,accepted_spotlight_papers,has_spotlight_category,accepted_poster_papers,acceptance_rate_pct,oral_acceptance_rate_pct,area_chairs,participating_reviewers,primary_source_title,notes
"2013","1","Seattle, Washington, USA","in_person","86","56","15","0","no","41","65.00","17.00","","","Message from the Chairs: 3DV 2013","The source says 'around ninety high quality paper submissions' rather than giving an exact denominator. The value 86 is inferred because 56/86 = 65.12% and 15/86 = 17.44%, which round to the report's 65% overall and 17% oral acceptance rates; 86 is the only integer consistent with both reported whole-number rates under standard rounding. The source does not state how many reviewers actually participated."
"2014","2","Tokyo, Japan","in_person","174","88","27","0","no","61","50.57","15.52","","162","Preface to the Conference: 3DV 2014","The preface states that 88 papers were selected, including 27 oral papers. The poster count is derived as 61 so oral + spotlight + poster equals the reported 88 accepted papers. No area-chair count is reported."
"2015","3","Lyon, France","in_person","160","74","24","0","no","50","46.25","15.00","20","197","Messages from the General and the Program Chairs: 3DV 2015","The program-chair preface reports 160 valid submissions, 24 oral acceptances, 50 poster acceptances, 20 area chairs, and 197 participating reviewers."
"2016","4","Stanford, California, USA","in_person","171","76","17","0","no","59","44.44","9.94","20","136","Message from the 3DV 2016 Program Chairs","The message reports 76 accepted papers: 17 for oral presentation and 59 for poster presentation."
"2017","5","Qingdao, China","in_person","138","73","12","25","yes","36","52.90","8.70","28","144","Message from the Program Chairs: 3DV 2017","The message reports 138 valid submissions, with 12 oral, 25 spotlight, and 36 poster acceptances. The official conference people page lists 28 area chairs."
"2018","6","Verona, Italy","in_person","168","82","24","0","no","58","48.81","14.29","24","200","Message from the Program Committee: 3DV 2018","The booklet reports 82 accepted papers: 24 for oral presentation and 58 for poster presentation."
"2019","7","Quebec City, Quebec, Canada","in_person","168","80","24","0","no","56","47.62","14.29","24","176","Message from the Program Chairs: 3DV 2019","The message reports 80 accepted papers: 24 for oral presentation and 56 for poster presentation."
"2020","8","Virtual (originally Fukuoka, Japan)","virtual","272","123","36","0","no","87","45.22","13.24","30","224","Message from the 3DV 2020 Program Chairs",""
"2021","9","Virtual (originally London, United Kingdom)","virtual","317","141","36","0","no","105","44.48","11.36","30","275","Message from the Program Chairs: 3DV 2021",""
"2022","10","Prague, Czech Republic","hybrid","194","71","14","0","no","57","35.50","7.00","34","308","Message from the Program Chairs: 3DV 2022","The source reports a 35.5% overall acceptance rate. The raw counts are 71 accepted out of 194 valid submissions, which calculates to 36.60%; acceptance_rate_pct retains the report's published value, formatted as 35.50%. The table stores the 308 participating reviewers; the source separately mentions an original recruited pool of 515."
"2024","11","Davos, Switzerland","in_person","318","154","21","26","yes","107","48.40","6.60","42","269","Welcome Message: 3DV 2024","The event originally planned for fall 2023 was rescheduled and officially named 3DV 2024, so there is no separate 2023 edition."
"2025","12","Singapore","in_person","353","142","21","0","no","121","40.20","5.90","40","381","Welcome Message: 3DV 2025",""
"2026","13","Metro Vancouver, British Columbia, Canada","in_person","404","177","22","0","no","155","43.80","5.40","48","623","Welcome Message: 3DV 2026","The sentence saying program chairs did not submit to 3DV 2025 appears to be a carry-over typo in the 2026 source and does not affect the numeric statistics."
