taxonomy_version,year,paper_count,abstract_count,openalex_citation_count,semantic_scholar_citation_count,google_scholar_citation_count,classified_count
0.3,2013,56,56,56,55,3,56
0.3,2014,105,105,105,103,1,105
0.3,2015,74,74,74,74,3,74
0.3,2016,75,75,75,74,7,75
0.3,2017,73,73,73,72,12,73
0.3,2018,81,81,81,81,12,81
0.3,2019,79,79,79,79,6,79
0.3,2020,123,123,123,122,3,123
0.3,2021,141,141,141,140,8,141
0.3,2022,71,71,71,71,4,71
0.3,2024,154,154,154,154,3,154
0.3,2025,142,142,142,141,3,142
0.3,2026,177,177,176,176,0,177
