taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,domain_tag,2013,objects_shapes,Objects & Shapes,Objects & Shapes,,1,56,25,0.446429
0.3,domain_tag,2013,indoor_scenes,Indoor Scenes,Indoor Scenes,,2,56,4,0.071429
0.3,domain_tag,2013,outdoor_urban_autonomous,"Outdoor, Urban & Autonomous","Outdoor, Urban & Autonomous",,3,56,7,0.125
0.3,domain_tag,2013,humans_faces_hands,"Humans, Faces & Hands","Humans, Faces & Hands",,4,56,19,0.339286
0.3,domain_tag,2013,robotics_embodied,Robotics & Embodied,Robotics & Embodied,,5,56,4,0.071429
0.3,domain_tag,2013,medical_biological,Medical & Biological,Medical & Biological,,6,56,0,0.0
0.3,domain_tag,2013,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,7,56,19,0.339286
0.3,domain_tag,2013,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,8,56,14,0.25
0.3,domain_tag,2013,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,9,56,15,0.267857
0.3,domain_tag,2013,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,10,56,5,0.089286
0.3,domain_tag,2014,objects_shapes,Objects & Shapes,Objects & Shapes,,1,105,49,0.466667
0.3,domain_tag,2014,indoor_scenes,Indoor Scenes,Indoor Scenes,,2,105,10,0.095238
0.3,domain_tag,2014,outdoor_urban_autonomous,"Outdoor, Urban & Autonomous","Outdoor, Urban & Autonomous",,3,105,11,0.104762
0.3,domain_tag,2014,humans_faces_hands,"Humans, Faces & Hands","Humans, Faces & Hands",,4,105,13,0.12381
0.3,domain_tag,2014,robotics_embodied,Robotics & Embodied,Robotics & Embodied,,5,105,8,0.07619
0.3,domain_tag,2014,medical_biological,Medical & Biological,Medical & Biological,,6,105,7,0.066667
0.3,domain_tag,2014,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,7,105,32,0.304762
0.3,domain_tag,2014,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,8,105,19,0.180952
0.3,domain_tag,2014,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,9,105,18,0.171429
0.3,domain_tag,2014,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,10,105,1,0.009524
0.3,domain_tag,2015,objects_shapes,Objects & Shapes,Objects & Shapes,,1,74,35,0.472973
0.3,domain_tag,2015,indoor_scenes,Indoor Scenes,Indoor Scenes,,2,74,4,0.054054
0.3,domain_tag,2015,outdoor_urban_autonomous,"Outdoor, Urban & Autonomous","Outdoor, Urban & Autonomous",,3,74,15,0.202703
0.3,domain_tag,2015,humans_faces_hands,"Humans, Faces & Hands","Humans, Faces & Hands",,4,74,9,0.121622
0.3,domain_tag,2015,robotics_embodied,Robotics & Embodied,Robotics & Embodied,,5,74,3,0.040541
0.3,domain_tag,2015,medical_biological,Medical & Biological,Medical & Biological,,6,74,6,0.081081
0.3,domain_tag,2015,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,7,74,22,0.297297
0.3,domain_tag,2015,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,8,74,19,0.256757
0.3,domain_tag,2015,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,9,74,12,0.162162
0.3,domain_tag,2015,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,10,74,4,0.054054
0.3,domain_tag,2016,objects_shapes,Objects & Shapes,Objects & Shapes,,1,75,34,0.453333
0.3,domain_tag,2016,indoor_scenes,Indoor Scenes,Indoor Scenes,,2,75,3,0.04
0.3,domain_tag,2016,outdoor_urban_autonomous,"Outdoor, Urban & Autonomous","Outdoor, Urban & Autonomous",,3,75,10,0.133333
0.3,domain_tag,2016,humans_faces_hands,"Humans, Faces & Hands","Humans, Faces & Hands",,4,75,23,0.306667
0.3,domain_tag,2016,robotics_embodied,Robotics & Embodied,Robotics & Embodied,,5,75,8,0.106667
0.3,domain_tag,2016,medical_biological,Medical & Biological,Medical & Biological,,6,75,5,0.066667
0.3,domain_tag,2016,heritage_archaeology,Cultural Heritage & Archaeology,Cultural Heritage & Archaeology,,7,75,19,0.253333
0.3,domain_tag,2016,aerial_remote_sensing,Aerial & Remote Sensing,Aerial & Remote Sensing,,8,75,6,0.08
0.3,domain_tag,2016,specialized_industrial_sports,"Industrial, Sports & Specialized","Industrial, Sports & Specialized",,9,75,10,0.133333
0.3,domain_tag,2016,xr_spatial_computing,XR & Spatial Computing,XR & Spatial Computing,,10,75,1,0.013333
0.3,domain_tag,2017,objects_shapes,Objects & Shapes,Objects & Shapes,,1,73,29,0.39726
0.3,domain_tag,2017,indoor_scenes,Indoor Scenes,Indoor Scenes,,2,73,8,0.109589
