taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,method_tag,2013,classical_geometry_optimization,Classical Geometry & Optimization,Classical Geometry & Optimization,,1,56,17,0.303571
0.3,method_tag,2013,deep_learning,Deep Learning,Deep Learning,,2,56,4,0.071429
0.3,method_tag,2013,transformers_attention,Transformers & Attention,Transformers & Attention,,3,56,0,0.0
0.3,method_tag,2013,point_clouds,Point Clouds,Point Clouds,,4,56,13,0.232143
0.3,method_tag,2013,rgbd_depth,RGB-D & Depth,RGB-D & Depth,,5,56,5,0.089286
0.3,method_tag,2013,multiview_stereo,Multi-view & Stereo,Multi-view & Stereo,,6,56,14,0.25
0.3,method_tag,2013,voxels_volumes,Voxels & Volumes,Voxels & Volumes,,7,56,5,0.089286
0.3,method_tag,2013,meshes,Meshes,Meshes,,8,56,5,0.089286
0.3,method_tag,2013,implicit_sdf_occupancy,"Implicit, SDF & Occupancy","Implicit, SDF & Occupancy",,9,56,0,0.0
0.3,method_tag,2013,neural_fields_nerf,Neural Fields & NeRF,Neural Fields & NeRF,,10,56,0,0.0
0.3,method_tag,2013,gaussian_splatting,Gaussian Splatting,Gaussian Splatting,,11,56,0,0.0
0.3,method_tag,2013,diffusion_generative,Diffusion & Generative Models,Diffusion & Generative Models,,12,56,1,0.017857
0.3,method_tag,2013,foundation_language_multimodal,"Foundation, Language & Multimodal","Foundation, Language & Multimodal",,13,56,1,0.017857
0.3,method_tag,2013,self_weak_unsupervised,Self/Weak/Unsupervised Learning,Self/Weak/Unsupervised Learning,,14,56,0,0.0
0.3,method_tag,2014,classical_geometry_optimization,Classical Geometry & Optimization,Classical Geometry & Optimization,,1,105,27,0.257143
0.3,method_tag,2014,deep_learning,Deep Learning,Deep Learning,,2,105,9,0.085714
0.3,method_tag,2014,transformers_attention,Transformers & Attention,Transformers & Attention,,3,105,3,0.028571
0.3,method_tag,2014,point_clouds,Point Clouds,Point Clouds,,4,105,20,0.190476
0.3,method_tag,2014,rgbd_depth,RGB-D & Depth,RGB-D & Depth,,5,105,14,0.133333
0.3,method_tag,2014,multiview_stereo,Multi-view & Stereo,Multi-view & Stereo,,6,105,36,0.342857
0.3,method_tag,2014,voxels_volumes,Voxels & Volumes,Voxels & Volumes,,7,105,8,0.07619
0.3,method_tag,2014,meshes,Meshes,Meshes,,8,105,13,0.12381
0.3,method_tag,2014,implicit_sdf_occupancy,"Implicit, SDF & Occupancy","Implicit, SDF & Occupancy",,9,105,2,0.019048
0.3,method_tag,2014,neural_fields_nerf,Neural Fields & NeRF,Neural Fields & NeRF,,10,105,0,0.0
0.3,method_tag,2014,gaussian_splatting,Gaussian Splatting,Gaussian Splatting,,11,105,1,0.009524
0.3,method_tag,2014,diffusion_generative,Diffusion & Generative Models,Diffusion & Generative Models,,12,105,4,0.038095
0.3,method_tag,2014,foundation_language_multimodal,"Foundation, Language & Multimodal","Foundation, Language & Multimodal",,13,105,2,0.019048
0.3,method_tag,2014,self_weak_unsupervised,Self/Weak/Unsupervised Learning,Self/Weak/Unsupervised Learning,,14,105,1,0.009524
0.3,method_tag,2015,classical_geometry_optimization,Classical Geometry & Optimization,Classical Geometry & Optimization,,1,74,16,0.216216
0.3,method_tag,2015,deep_learning,Deep Learning,Deep Learning,,2,74,6,0.081081
0.3,method_tag,2015,transformers_attention,Transformers & Attention,Transformers & Attention,,3,74,1,0.013514
0.3,method_tag,2015,point_clouds,Point Clouds,Point Clouds,,4,74,15,0.202703
0.3,method_tag,2015,rgbd_depth,RGB-D & Depth,RGB-D & Depth,,5,74,12,0.162162
0.3,method_tag,2015,multiview_stereo,Multi-view & Stereo,Multi-view & Stereo,,6,74,22,0.297297
0.3,method_tag,2015,voxels_volumes,Voxels & Volumes,Voxels & Volumes,,7,74,5,0.067568
0.3,method_tag,2015,meshes,Meshes,Meshes,,8,74,11,0.148649
0.3,method_tag,2015,implicit_sdf_occupancy,"Implicit, SDF & Occupancy","Implicit, SDF & Occupancy",,9,74,3,0.040541
0.3,method_tag,2015,neural_fields_nerf,Neural Fields & NeRF,Neural Fields & NeRF,,10,74,0,0.0
0.3,method_tag,2015,gaussian_splatting,Gaussian Splatting,Gaussian Splatting,,11,74,0,0.0
0.3,method_tag,2015,diffusion_generative,Diffusion & Generative Models,Diffusion & Generative Models,,12,74,2,0.027027
0.3,method_tag,2015,foundation_language_multimodal,"Foundation, Language & Multimodal","Foundation, Language & Multimodal",,13,74,2,0.027027
0.3,method_tag,2015,self_weak_unsupervised,Self/Weak/Unsupervised Learning,Self/Weak/Unsupervised Learning,,14,74,4,0.054054
0.3,method_tag,2016,classical_geometry_optimization,Classical Geometry & Optimization,Classical Geometry & Optimization,,1,75,18,0.24
0.3,method_tag,2016,deep_learning,Deep Learning,Deep Learning,,2,75,19,0.253333
0.3,method_tag,2016,transformers_attention,Transformers & Attention,Transformers & Attention,,3,75,1,0.013333
0.3,method_tag,2016,point_clouds,Point Clouds,Point Clouds,,4,75,13,0.173333
0.3,method_tag,2016,rgbd_depth,RGB-D & Depth,RGB-D & Depth,,5,75,14,0.186667
0.3,method_tag,2016,multiview_stereo,Multi-view & Stereo,Multi-view & Stereo,,6,75,23,0.306667
0.3,method_tag,2016,voxels_volumes,Voxels & Volumes,Voxels & Volumes,,7,75,6,0.08
