taxonomy_version,category_type,year,category,label,short_label,supergroup,display_order,paper_count,count,share_of_papers
0.3,primary,2013,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,56,3,0.053571
0.3,primary,2013,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,56,5,0.089286
0.3,primary,2013,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,56,3,0.053571
0.3,primary,2013,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,56,5,0.089286
0.3,primary,2013,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,56,2,0.035714
0.3,primary,2013,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,56,10,0.178571
0.3,primary,2013,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,56,0,0.0
0.3,primary,2013,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,56,0,0.0
0.3,primary,2013,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,56,5,0.089286
0.3,primary,2013,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,56,3,0.053571
0.3,primary,2013,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,56,10,0.178571
0.3,primary,2013,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,56,2,0.035714
0.3,primary,2013,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,56,3,0.053571
0.3,primary,2013,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,56,1,0.017857
0.3,primary,2013,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,56,0,0.0
0.3,primary,2013,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,56,2,0.035714
0.3,primary,2013,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,56,2,0.035714
0.3,primary,2014,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,105,9,0.085714
0.3,primary,2014,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,105,12,0.114286
0.3,primary,2014,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,105,6,0.057143
0.3,primary,2014,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,105,11,0.104762
0.3,primary,2014,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,105,5,0.047619
0.3,primary,2014,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,105,13,0.12381
0.3,primary,2014,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,105,3,0.028571
0.3,primary,2014,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,105,3,0.028571
0.3,primary,2014,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,105,8,0.07619
0.3,primary,2014,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,105,6,0.057143
0.3,primary,2014,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,105,9,0.085714
0.3,primary,2014,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,105,9,0.085714
0.3,primary,2014,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,105,8,0.07619
0.3,primary,2014,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,105,1,0.009524
0.3,primary,2014,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,105,0,0.0
0.3,primary,2014,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,105,2,0.019048
0.3,primary,2014,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,105,0,0.0
0.3,primary,2015,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,74,12,0.162162
0.3,primary,2015,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,74,9,0.121622
0.3,primary,2015,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,74,2,0.027027
0.3,primary,2015,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,74,8,0.108108
0.3,primary,2015,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,74,1,0.013514
0.3,primary,2015,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,74,12,0.162162
0.3,primary,2015,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,74,0,0.0
0.3,primary,2015,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,74,4,0.054054
0.3,primary,2015,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,74,9,0.121622
0.3,primary,2015,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,74,4,0.054054
0.3,primary,2015,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,74,3,0.040541
0.3,primary,2015,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,74,5,0.067568
0.3,primary,2015,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,74,2,0.027027
0.3,primary,2015,generation_completion_editing,"Generation, Completion & Editing",Generation & Completion,synthesis_interaction,14,74,1,0.013514
0.3,primary,2015,robotics_embodied_interaction,"Robotics, Embodied Vision & Interaction",Robotics & Embodied Vision,synthesis_interaction,15,74,0,0.0
0.3,primary,2015,datasets_benchmarks_evaluation,"Datasets, Benchmarks & Evaluation",Datasets & Benchmarks,resources_applications,16,74,0,0.0
0.3,primary,2015,ar_vr_hci_applied_systems,"AR/VR, HCI & Applied 3D Systems",AR/VR & HCI,resources_applications,17,74,2,0.027027
0.3,primary,2016,sensing_acquisition_calibration,"Sensing, Acquisition & Calibration",Sensing & Calibration,capture_geometry,1,75,8,0.106667
0.3,primary,2016,depth_stereo_shape_from_x,"Depth, Stereo & Shape-from-X",Depth & Stereo,capture_geometry,2,75,8,0.106667
0.3,primary,2016,multiview_geometry_sfm_photogrammetry,"Multi-view Geometry, SfM & Photogrammetry",Multi-view Geometry & SfM,capture_geometry,3,75,5,0.066667
0.3,primary,2016,registration_correspondence_matching,"Registration, Correspondence & Shape Matching",Registration & Correspondence,capture_geometry,4,75,3,0.04
0.3,primary,2016,slam_localization_mapping,"SLAM, Localization & Mapping",SLAM & Mapping,capture_geometry,5,75,3,0.04
0.3,primary,2016,reconstruction_fusion_modeling,"Reconstruction, Fusion & Geometric Modeling",Reconstruction & Fusion,capture_geometry,6,75,5,0.066667
0.3,primary,2016,representations_features,3D Representations & Embeddings,3D Representations & Embeddings,representation_understanding,7,75,2,0.026667
0.3,primary,2016,geometry_shape_processing,Geometry & Shape Processing,Geometry Processing,representation_understanding,8,75,5,0.066667
0.3,primary,2016,recognition_detection_retrieval,"Recognition, Detection & Retrieval",Recognition & Detection,representation_understanding,9,75,3,0.04
0.3,primary,2016,segmentation_scene_understanding,Segmentation & Scene Understanding,Segmentation & Scene Understanding,representation_understanding,10,75,7,0.093333
0.3,primary,2016,humans_faces_hands_avatars,"Humans, Faces, Hands & Avatars",Humans & Avatars,representation_understanding,11,75,9,0.12
0.3,primary,2016,motion_tracking_dynamic_4d,"Motion, Tracking & Dynamic/4D Vision",Motion & 4D,representation_understanding,12,75,8,0.106667
0.3,primary,2016,rendering_novel_views_appearance,"Rendering, Novel Views & Appearance",Rendering & Novel Views,synthesis_interaction,13,75,3,0.04
