year,canonical_source,canonical_paper_rows,abstract_rows_before_supplement,fetched_at,abstract_rows_after_supplement,keyword_rows_after_supplement
2013,DBLP,56,0,2026-08-25,0,0
2014,DBLP,105,0,2026-08-25,0,0
2015,DBLP,74,0,2026-08-25,0,0
2016,DBLP,75,0,2026-08-25,0,0
2017,DBLP,73,0,2026-08-25,0,0
2018,DBLP,81,0,2026-08-25,0,0
2019,DBLP,79,0,2026-08-25,0,0
2020,DBLP,123,0,2026-08-25,0,0
2021,DBLP,141,0,2026-08-25,0,0
2022,DBLP,71,0,2026-08-25,0,0
2024,DBLP,154,0,2026-08-25,0,0
2025,DBLP,142,0,2026-08-25,140,140
2026,DBLP,177,0,2026-08-25,174,174
